workcode,name,jobtitle,male,phonenumber
52937,Adam Cameron,Inventory Control Specialist,1,001-600-665-8916x211
96599,Mary Campos,Cashier,0,(527)719-9277x01398
11870,Casey Miller,Logistics,1,+1-992-375-0936x8397
52294,Sophia Hamilton,Sales Manager,0,722-689-5303x990
91018,Krista Rhodes,Cashier,0,+1-840-464-1837
72858,April Jones,Sales Manager,0,(487)927-9549
42763,Eric Clark,Team Leader,1,001-288-609-8518x356
38139,Clifford Smith,Warehouse Associate,1,(908)743-0299x144
96807,Tammie Moore,Sales Manager,0,662.328.4963x7300
64659,Justin Campos,Assistant,1,758-602-8054x46880
12017,Ashley Lara,Cashier,0,224.960.7619
46939,Margaret Ross,Inventory Control Specialist,0,+1-847-392-4411x4304
90020,Ralph Lee,Logistics,1,001-887-370-7697x413
12895,Jeffrey Massey,Logistics,1,001-488-240-4691x41646
68895,Patricia Reyes,Assistant,0,582.857.8300x2500
45140,Keith Johnson,Inventory Control Specialist,1,895.873.3896
36687,James Miller,Cashier,1,001-305-327-9359
65087,Charles Miller,Assistant,1,215.919.0877x9608
87939,Kevin Goodman,Warehouse Associate,1,(530)505-9851
84704,Jessica Gray,Cashier,0,(678)824-4065x2756
90766,Kevin Johnson,Assistant,1,284.710.9457x12550
64948,Lisa Mack,Cashier,0,+1-826-285-6426x16487
10132,Jon Lopez,Assistant,1,001-789-803-5722x27839
79689,Robert Turner,Warehouse Associate,1,(459)276-0236
98609,Gregory Shaffer,Warehouse Associate,1,529-789-4973
26739,Ashley Johnson,Assistant,0,(418)952-5549x5510
72740,Donald Martinez,Sales Manager,1,669.944.0247
75929,Karen Armstrong,Warehouse Associate,0,235.579.0750
60534,Maria Johnson,Assistant,0,656-363-3756x00047
60115,Jeremy Bentley,Warehouse Associate,1,897-557-3456
61164,Elizabeth Hall,Assistant,0,+1-433-540-3995
86481,Preston Mcdonald,Inventory Control Specialist,1,+1-611-272-0876x14587
12623,Adam Gaines,Logistics,1,346.264.2276
28081,Miss Crystal Manning,Cashier,0,568-965-1680x41679
36251,Nicholas Hutchinson,Sales Manager,1,809-540-8726
30921,Mary Morgan,Warehouse Associate,0,457.469.5792x76710
37304,Ethan Harris,Cashier,1,001-666-889-5781x1648
94030,David Berg,Sales Manager,1,223-596-9779
74337,James Fox,Warehouse Associate,1,409.648.8983
64415,Thomas Scott,Cashier,1,001-790-910-4532x54496
94731,Wyatt Mills,Sales Manager,1,(743)454-0596x679
94512,William Willis,Sales Manager,1,+1-459-414-5452x24482
43233,Terry Proctor,Inventory Control Specialist,1,001-683-224-0773x18181
42687,Monica Jacobs,Cashier,0,678.854.0203x45686
81485,John Cooley,Inventory Control Specialist,1,001-999-555-6985
93384,Linda Williams,Team Leader,0,469-283-4836
50380,Ashley Ramsey,Cashier,0,+1-756-328-0184
56674,Matthew Wilson,Warehouse Associate,1,001-511-225-5411
69919,Kyle Campbell,Team Leader,1,218.483.7308x290
12782,Anna James,Team Leader,0,212-331-3807x622
63581,Jasmine Benson,Sales Manager,0,001-512-464-5692x949
32207,Thomas Gomez,Sales Manager,1,374.739.7830
86585,Brenda Hodge,Cashier,0,+1-904-754-1399
21687,Mike Young,Warehouse Associate,1,2758895125
63259,John Wood,Logistics,1,7752706658
93579,Jennifer Wright,Team Leader,0,001-682-559-7200x791
78507,Steven Miller,Inventory Control Specialist,1,873-823-7966x094
27532,Wendy Prince,Sales Manager,0,6232522566
35618,Brandon Morris,Inventory Control Specialist,1,001-996-682-9084x6155
81346,Allison Hickman,Inventory Control Specialist,0,5628561803
25233,Drew Martinez,Team Leader,1,6988699981
69454,Victor Long,Sales Manager,1,(226)565-4147x610
85880,Shirley Fox,Assistant,0,+1-699-305-7834x60018
20693,Kimberly Jensen,Team Leader,0,917.476.6406x0952
29942,Sean Dixon,Logistics,1,262-570-4983
49259,Chad Zamora,Sales Manager,1,9318849282
69879,Brandon Greene,Team Leader,1,295-904-1151x593
33704,Marcus Miranda,Warehouse Associate,1,819.529.6784
27073,Emily Rodriguez,Assistant,0,318.344.0641x4662
48553,James Morgan,Team Leader,1,760-715-0540
